K,u-g,g-r,u-z,u-K,Mv,CL,Typ,Teff,logg,Pop,Age,Mass,Mbol,Radius,[M/H],[a/Fe],longitude,latitude,RAJ2000,DECJ2000,Dist,x_Gal,y_Gal,z_Gal,Av,errMv,errMass,errAge,errTeff,errLogg,errMet,errAlphaFe,errBand_K,errBand_u,errBand_g,errBand_r,errBand_z
18.375,3.163,1.487,7.031,9.145,14.51,5,7.5,3037.0,5.1,4,2.4197,0.066,11.76,0.138,0.082,0.087,209.004242,-19.40897,83.79361,-5.395497,0.5397,-8.4452,-0.2468,-0.1644,0.217,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0049,0.0034,0.0143,0.0151,0.0023
17.272,2.996,1.509,6.674,8.778,13.16,5,7.4,3126.0,5.01,6,6.0824,0.183,10.816,0.201,-0.095,0.011,209.051773,-19.470346,83.758965,-5.463234,0.5388,-8.444,-0.2467,-0.1646,0.26,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0076,-0.0152,0.0368,0.0029,0.018
13.91,2.653,1.287,4.963,7.01,8.56,5,7.0,3878.0,4.84,4,2.2469,0.718,7.69,0.547,-0.528,0.016,209.069885,-19.306389,83.913658,-5.404338,0.538,-8.4438,-0.2467,-0.1629,0.27,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0208,0.0097,-0.0198,0.0055,-0.008
17.188,3.089,1.483,6.731,8.807,12.99,5,7.4,3127.0,4.95,7,8.5907,0.394,10.748,0.206,-0.084,0.008,208.934921,-19.419601,83.754379,-5.342,0.5506,-8.4545,-0.2512,-0.1681,0.269,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0011,0.0151,-0.0078,-9.0E-4,-0.0118
15.971,2.95,1.462,6.109,8.149,11.25,5,7.3,3461.0,5.03,7,8.3976,0.31,9.828,0.276,-0.195,-0.012,208.987457,-19.362757,83.827812,-5.360466,0.5582,-8.4606,-0.2552,-0.1701,0.244,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0161,0.0191,0.0068,0.0141,-0.0092
15.019,2.817,1.352,5.624,7.738,10.13,5,7.15,3663.0,4.83,7,8.5674,0.656,9.061,0.349,0.03,0.041,208.995071,-19.465313,83.739189,-5.413274,0.5562,-8.4587,-0.2542,-0.1704,0.222,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0186,0.0021,6.0E-4,0.0203,-0.0086
14.568,2.809,1.332,5.395,7.486,9.45,5,7.1,3790.0,4.77,5,4.209,0.566,8.651,0.396,-0.132,0.017,208.962845,-19.424875,83.761612,-5.36788,0.5596,-8.4618,-0.2556,-0.1711,0.252,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0161,0.0106,-0.0417,0.0044,0.0228
14.222,2.641,1.299,5.157,7.2,8.96,5,7.05,3842.0,4.43,5,3.9679,0.526,8.083,0.48,-0.096,0.035,208.952301,-19.413664,83.767159,-5.353937,0.5543,-8.4575,-0.2531,-0.1693,0.271,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0256,-0.0085,0.0089,0.0283,-0.0215
15.467,2.785,1.411,5.461,7.552,10.39,5,7.1,3664.0,4.99,8,9.8588,0.285,9.052,0.334,-0.27,0.214,209.045746,-19.444975,83.779129,-5.446686,0.5574,-8.4595,-0.2552,-0.1706,0.25,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.002,0.0012,7.0E-4,-0.0149,0.0103
19.133,3.253,1.455,7.173,9.313,15.28,5,7.5,2993.0,5.24,3,1.4527,0.081,12.207,0.116,0.051,-0.048,209.009415,-19.497332,83.716675,-5.439815,0.5624,-8.4636,-0.2571,-0.1727,0.214,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0067,-0.0196,-0.0109,0.0416,0.0198
18.862,3.357,1.499,7.215,9.364,14.9,5,7.5,3040.0,5.19,4,2.5407,0.117,12.059,0.123,-0.191,-0.014,208.973663,-19.453629,83.740494,-5.389988,0.5733,-8.4729,-0.2619,-0.1759,0.242,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0351,-0.0237,-0.0484,-0.0078,0.0115
18.019,3.084,1.444,6.869,8.938,13.99,5,7.45,3090.0,5.06,5,3.9147,0.013,11.388,0.16,0.164,0.031,209.071426,-19.329054,83.893982,-5.415885,0.5604,-8.4622,-0.2569,-0.1705,0.201,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-9.0E-4,-0.0272,-7.0E-4,0.0256,-0.0242
17.917,3.106,1.495,6.849,8.927,13.78,5,7.45,3217.0,5.01,3,1.6112,0.139,11.169,0.175,-0.136,0.043,208.927536,-19.303635,83.85508,-5.283293,0.564,-8.4659,-0.2575,-0.1714,0.227,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0055,0.0072,0.0187,0.0096,-0.0028
17.784,3.112,1.487,6.801,8.901,13.59,5,7.45,3212.0,5.1,5,3.9269,0.186,11.026,0.185,-0.035,0.045,209.064545,-19.35326,83.86937,-5.421034,0.5732,-8.4727,-0.2627,-0.1749,0.221,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0162,0.0285,0.0161,0.0129,0.0051
15.306,2.881,1.413,5.834,7.983,10.48,5,7.2,3613.0,4.81,4,2.5115,0.475,9.274,0.326,0.089,-0.045,208.946396,-19.343119,83.827812,-5.317043,0.5682,-8.4691,-0.2595,-0.1732,0.252,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0054,0.0081,0.0347,-0.0067,-0.0038
15.107,2.8,1.435,5.565,7.615,10.07,5,7.15,3664.0,4.77,7,8.3593,0.405,8.991,0.357,-0.305,0.081,208.942322,-19.341757,83.827271,-5.31299,0.5604,-8.4628,-0.2559,-0.1706,0.22,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0111,0.0224,0.015,-0.0129,-0.009
15.939,2.761,1.5,5.576,7.614,10.81,5,7.15,3599.0,4.94,8,10.155,0.292,9.355,0.3,-0.547,0.233,209.098648,-19.329306,83.905434,-5.438914,0.565,-8.4659,-0.2593,-0.172,0.285,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0208,-0.0199,0.0381,-0.0074,-0.0216
14.015,2.543,1.31,4.761,6.791,9.04,5,6.9,4125.0,4.88,8,10.2188,0.498,7.867,0.489,-0.333,0.198,208.906357,-19.424656,83.737602,-5.320267,0.5607,-8.4629,-0.2556,-0.1715,0.231,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0151,-6.0E-4,0.0384,0.016,0.024
17.517,3.147,1.493,6.796,8.886,13.2,5,7.4,3173.0,5.12,7,8.5811,0.228,10.885,0.196,-0.266,0.039,208.921112,-19.456444,83.715469,-5.347074,0.5849,-8.4827,-0.2667,-0.1798,0.255,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.004,0.0414,0.0038,0.0126,0.0141
14.96,2.778,1.378,5.508,7.65,9.83,5,7.15,3605.0,4.95,7,8.6143,0.649,8.853,0.372,0.081,0.007,209.016861,-19.455513,83.757324,-5.427163,0.5994,-8.4942,-0.2741,-0.1846,0.278,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0061,-0.0157,-0.0177,-0.0308,0.0191
12.306,2.168,0.781,3.341,4.919,5.8,5,6.0,5065.0,4.49,5,4.1532,1.033,5.546,0.891,-0.006,0.009,208.931396,-19.367922,83.799126,-5.315641,0.5898,-8.4869,-0.2692,-0.1806,0.256,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0105,-0.0257,0.0195,-0.0143,2.0E-4
16.09,2.947,1.489,5.611,7.706,10.74,5,7.1,3694.0,5.03,11,11.9263,0.277,9.489,0.273,-0.774,0.28,209.066589,-19.47493,83.761208,-5.477759,0.5993,-8.4939,-0.2745,-0.1848,0.301,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0081,0.0072,0.0108,0.0033,0.0065
16.138,3.015,1.422,6.106,8.247,11.31,5,7.25,3350.0,4.93,5,4.1044,0.282,9.783,0.279,-0.247,-0.048,208.937927,-19.456963,83.722191,-5.361436,0.6122,-8.5052,-0.2793,-0.1889,0.233,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0236,0.0161,-0.0209,-0.0051,0.0105
15.696,2.937,1.402,5.933,8.1,10.78,5,7.2,3464.0,5.07,4,2.4462,0.39,9.491,0.303,0.102,0.006,209.055145,-19.383047,83.838631,-5.426594,0.6134,-8.5058,-0.281,-0.1886,0.259,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0202,-0.0432,0.0025,-0.0171,0.0092
12.167,2.056,0.68,3.132,4.642,5.45,5,5.8,5317.0,4.57,4,2.6127,1.147,5.287,0.933,-0.109,0.018,209.089523,-19.322159,83.907944,-5.428003,0.601,-8.4956,-0.2758,-0.1839,0.27,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0265,-0.0076,0.0119,0.0158,-0.0178
16.582,2.888,1.394,5.837,7.96,11.6,5,7.2,3561.0,4.95,8,10.0018,0.161,9.938,0.246,-0.238,0.175,208.944702,-19.348581,83.822189,-5.31809,0.6121,-8.5054,-0.2795,-0.1878,0.23,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0049,-0.0026,0.0032,0.0097,0.0083
18.278,3.161,1.535,6.997,9.079,13.92,5,7.45,3122.0,5.36,6,6.1088,0.053,11.388,0.16,-0.1,-0.019,208.895844,-19.455547,83.705414,-5.325422,0.6381,-8.5268,-0.2907,-0.1975,0.274,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0028,-0.0104,0.0103,-0.0122,-0.0227
16.695,3.111,1.499,6.56,8.759,12.07,5,7.35,3336.0,5.19,2,0.1496,0.29,10.132,0.253,0.187,-0.012,208.946228,-19.337267,83.832947,-5.314243,0.6392,-8.5278,-0.2919,-0.1967,0.29,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0048,-0.0418,0.0399,-0.0218,-0.0236
