K,u-g,g-r,u-z,u-K,Mv,CL,Typ,Teff,logg,Pop,Age,Mass,Mbol,Radius,[M/H],[a/Fe],longitude,latitude,RAJ2000,DECJ2000,Dist,x_Gal,y_Gal,z_Gal,Av,errMv,errMass,errAge,errTeff,errLogg,errMet,errAlphaFe,errBand_K,errBand_u,errBand_g,errBand_r,errBand_z
13.419,2.601,1.325,4.892,6.945,8.52,5,6.9,4064.0,4.65,4,2.5115,0.665,7.51,0.578,0.089,-0.045,208.900925,-19.488327,83.678261,-5.344534,0.5665,-8.4675,-0.2581,-0.174,0.234,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0054,0.0081,0.0347,-0.0067,-0.0038
13.075,2.661,1.215,4.67,6.729,7.96,5,6.7,4122.0,4.72,3,1.5153,0.539,7.149,0.636,-0.161,0.004,208.934662,-19.476986,83.702873,-5.367754,0.5679,-8.4686,-0.259,-0.1744,0.213,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0141,0.0103,-0.0138,-0.0116,0.0157
16.268,2.795,1.412,5.601,7.57,11.14,5,7.2,3625.0,5.18,8,10.104,0.177,9.652,0.27,-0.5,0.192,208.932526,-19.401327,83.76973,-5.331717,0.5726,-8.4726,-0.2613,-0.1752,0.233,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0086,0.0018,-0.0282,0.0102,-0.026
15.744,2.748,1.4,5.487,7.575,10.73,5,7.15,3709.0,5.09,8,9.8899,0.332,9.203,0.318,-0.102,0.142,209.06218,-19.33922,83.880928,-5.412697,0.5634,-8.4646,-0.2582,-0.1716,0.228,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0201,-0.025,0.0056,-0.0195,-0.0162
17.546,3.068,1.496,6.744,8.819,13.25,5,7.4,3224.0,5.1,7,8.4662,0.218,10.816,0.201,0.096,0.033,208.943008,-19.457396,83.723991,-5.365917,0.5937,-8.4898,-0.2709,-0.1828,0.245,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0229,0.0161,-0.006,-0.0296,-0.035
16.273,3.174,1.423,6.422,8.613,11.72,5,7.3,3364.0,5.09,5,4.0811,0.345,9.967,0.266,-0.195,0.038,208.937027,-19.498383,83.684738,-5.379434,0.5836,-8.4815,-0.2662,-0.1798,0.247,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.004,0.0414,0.0038,0.0126,0.0141
12.014,1.365,0.535,2.131,3.415,4.86,5,5.3,5731.0,4.38,4,2.6532,1.173,4.686,1.036,0.017,0.008,209.093048,-19.435038,83.808304,-5.481987,0.5949,-8.4902,-0.2728,-0.1829,0.231,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0105,-0.0257,0.0195,-0.0143,2.0E-4
17.518,3.041,1.481,6.709,8.818,13.18,5,7.4,3173.0,5.08,3,1.4263,0.2,10.816,0.201,-0.074,0.017,208.926956,-19.447657,83.725822,-5.348001,0.6031,-8.4978,-0.2751,-0.1858,0.263,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0081,0.0072,0.0108,0.0033,0.0065
14.741,2.743,1.333,5.211,7.317,9.29,5,7.05,3768.0,4.77,5,4.1044,0.512,8.181,0.464,-0.247,-0.048,209.057495,-19.354549,83.865189,-5.415687,0.6148,-8.5071,-0.2817,-0.1888,0.27,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0236,0.0161,-0.0209,-0.0051,0.0105
13.38,2.595,1.314,4.866,6.929,8.29,5,6.9,3965.0,4.88,6,5.9462,0.61,7.51,0.578,0.083,0.006,209.005737,-19.397253,83.804756,-5.391461,0.6113,-8.5043,-0.2796,-0.188,0.268,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0202,-0.0432,0.0025,-0.0171,0.0092
17.923,3.135,1.479,6.821,8.869,13.46,5,7.45,3107.0,5.07,5,4.0864,0.233,11.026,0.185,-0.313,0.02,208.942993,-19.369493,83.802704,-5.326108,0.6229,-8.5142,-0.2844,-0.1916,0.276,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0518,-0.0237,-0.0202,0.0107,0.0063
16.727,3.125,1.413,6.426,8.517,11.98,5,7.35,3268.0,5.01,4,2.5201,0.293,10.132,0.253,-0.265,-0.01,208.903397,-19.463896,83.70121,-5.335553,0.6342,-8.5234,-0.289,-0.1963,0.248,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0332,-0.0305,-0.0466,-0.0015,-0.0144
15.112,2.684,1.417,5.496,7.596,9.89,5,7.15,3687.0,5.01,3,1.5921,0.52,8.853,0.372,0.177,-0.013,209.043472,-19.347206,83.865738,-5.400571,0.6286,-8.5185,-0.2879,-0.1933,0.251,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0048,-0.0418,0.0399,-0.0218,-0.0236
12.369,2.174,0.744,3.218,4.771,5.59,5,6.0,5195.0,4.51,5,3.9926,0.929,5.372,0.92,-0.005,0.036,208.905792,-19.394045,83.764755,-5.305936,0.6353,-8.5246,-0.2897,-0.196,0.24,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0101,-0.0058,-0.0016,-0.0428,0.0232
16.135,3.12,1.437,6.294,8.515,11.32,5,7.25,3428.0,5.15,7,8.5143,0.268,9.783,0.279,-0.073,0.001,209.024277,-19.426147,83.786781,-5.420123,0.6466,-8.5332,-0.2959,-0.2001,0.257,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0129,0.0265,0.0118,-0.0234,0.0031
15.377,2.806,1.4,5.581,7.696,10.09,5,7.15,3641.0,4.73,5,4.1203,0.483,9.061,0.349,-0.239,0.051,208.974274,-19.491531,83.706841,-5.40764,0.6539,-8.5393,-0.2986,-0.2032,0.237,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0232,-0.0103,-0.0066,-0.0094,0.0126
16.751,2.97,1.496,6.134,8.239,11.72,5,7.3,3297.0,4.94,7,8.5122,0.128,9.92,0.269,-0.2,0.004,208.911316,-19.37414,83.784973,-5.301566,0.6707,-8.5539,-0.3059,-0.2075,0.233,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0179,-0.0084,-0.0049,-0.0263,0.0204
16.482,3.037,1.471,6.261,8.446,11.54,5,7.3,3356.0,4.89,7,8.6481,0.096,9.828,0.276,0.09,-0.039,209.070663,-19.396488,83.833252,-5.445727,0.679,-8.5597,-0.3112,-0.2105,0.257,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0062,-0.019,0.0343,-0.0181,-0.0037
16.424,2.963,1.45,6.107,8.225,11.44,5,7.25,3491.0,4.97,7,8.4899,0.348,9.783,0.279,0.022,0.012,209.07518,-19.409586,83.823441,-5.455452,0.6687,-8.5512,-0.3065,-0.2072,0.196,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0142,-0.0184,0.0352,-0.0085,-0.0013
16.064,3.019,1.38,6.022,8.187,10.98,5,7.25,3544.0,4.89,7,8.4435,0.37,9.565,0.296,-0.051,0.019,209.080841,-19.410429,83.825134,-5.460603,0.6733,-8.555,-0.3087,-0.2088,0.243,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0275,0.0185,-0.001,-5.0E-4,0.0149
15.898,2.953,1.398,5.934,8.109,10.82,5,7.2,3619.0,4.93,3,1.6225,0.531,9.418,0.311,0.152,-0.022,208.957382,-19.47994,83.709953,-5.388201,0.6607,-8.545,-0.3016,-0.2053,0.272,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0016,-0.0168,-0.0061,-0.0204,-0.0033
16.734,2.936,1.527,6.177,8.243,11.59,5,7.3,3409.0,4.93,5,4.0705,0.297,9.874,0.273,-0.235,-0.034,209.019913,-19.395668,83.812241,-5.402661,0.6987,-8.5763,-0.3197,-0.217,0.268,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0035,-0.0153,0.0282,-0.0228,-0.0233
16.561,2.937,1.497,6.112,8.189,11.35,5,7.25,3455.0,4.98,4,2.5969,0.308,9.783,0.279,-0.453,0.034,209.103271,-19.349806,83.889069,-5.452078,0.718,-8.5919,-0.3295,-0.2229,0.238,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0161,-0.0107,0.0323,-0.0257,-0.0163
15.159,2.74,1.299,5.384,7.515,9.66,5,7.1,3733.0,4.87,5,4.1518,0.526,8.718,0.388,0.097,0.033,209.002518,-19.450089,83.756042,-5.412648,0.7052,-8.5816,-0.3224,-0.2198,0.231,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0259,-0.005,-0.0365,0.0186,0.0074
14.984,2.644,1.275,4.964,7.065,9.07,5,6.95,3989.0,4.67,8,9.838,0.574,8.012,0.468,0.008,0.032,208.993744,-19.442251,83.759293,-5.401728,0.7109,-8.5864,-0.325,-0.2216,0.271,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0091,0.0028,0.0051,0.0105,0.0124
17.97,3.166,1.565,6.69,8.738,13.04,5,7.4,3242.0,4.85,6,6.0823,0.291,10.624,0.215,-0.393,0.015,208.987061,-19.434669,83.763229,-5.392668,0.7201,-8.594,-0.3291,-0.2246,0.253,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0076,0.025,-0.0143,-0.0483,0.0013
17.95,3.075,1.472,6.687,8.782,13.16,5,7.4,3173.0,4.98,3,1.4623,0.092,10.624,0.215,0.018,0.032,208.963547,-19.388504,83.794479,-5.352006,0.7267,-8.5998,-0.332,-0.2263,0.248,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0319,0.0335,0.0065,0.002,-0.0323
17.734,3.101,1.438,6.596,8.661,12.83,5,7.4,3253.0,5.04,6,5.9374,0.215,10.561,0.22,-0.3,-0.028,208.952652,-19.491472,83.697601,-5.389444,0.7246,-8.5977,-0.3307,-0.2268,0.227,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0168,0.017,-0.0091,0.0378,0.0075
17.694,3.147,1.553,6.666,8.689,12.64,5,7.4,3335.0,4.98,5,4.0233,0.156,10.499,0.224,-0.286,-0.012,208.915543,-19.308744,83.845329,-5.275515,0.7264,-8.6,-0.3315,-0.2252,0.294,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0277,0.0312,0.0039,-0.0011,-0.0112
17.451,3.057,1.536,6.455,8.567,12.41,5,7.35,3374.0,5.03,6,5.9524,0.159,10.253,0.243,-0.21,0.018,209.093842,-19.476009,83.771919,-5.501167,0.7202,-8.5933,-0.3301,-0.2251,0.272,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0309,0.0105,0.0396,-0.0047,0.037
16.662,2.96,1.476,6.116,8.243,11.5,5,7.3,3441.0,4.88,6,5.9135,0.267,9.828,0.276,-0.169,-0.039,208.963745,-19.458879,83.731537,-5.384012,0.724,-8.5973,-0.3306,-0.2262,0.195,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0123,0.0165,0.0459,-0.0035,0.0133
16.375,2.921,1.38,5.955,8.039,11.06,5,7.25,3454.0,4.8,4,2.589,0.237,9.652,0.289,-0.155,-0.008,208.961929,-19.410122,83.77446,-5.360434,0.7294,-8.6019,-0.3331,-0.2274,0.241,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0244,-0.0013,-0.0262,0.0318,-0.0204
13.114,2.482,0.931,3.902,5.681,6.57,5,6.3,4789.0,4.38,5,3.9319,0.673,6.05,0.808,0.024,0.011,209.034546,-19.343088,83.865623,-5.391201,0.7286,-8.6011,-0.3337,-0.2263,0.225,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0071,-0.0132,0.0426,0.0145,0.0177
12.634,1.805,0.635,2.746,4.158,5.26,5,5.6,5592.0,4.42,7,8.7244,0.79,5.034,0.969,0.19,-0.036,209.022537,-19.402798,83.806969,-5.408092,0.7376,-8.6084,-0.3375,-0.23,0.277,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.009,-0.0019,0.0032,-0.0187,-0.0078
15.262,2.692,1.381,5.351,7.447,9.46,5,7.1,3755.0,4.56,7,8.4394,0.532,8.575,0.405,-0.128,0.016,208.916504,-19.318556,83.836967,-5.280763,0.7768,-8.6417,-0.3545,-0.242,0.253,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0058,0.0323,0.0166,-0.0164,-0.0032
13.886,2.599,1.283,4.811,6.842,8.2,5,6.9,4041.0,4.7,5,3.9688,0.755,7.363,0.602,-0.045,0.025,209.057663,-19.352194,83.867371,-5.41477,0.7786,-8.6422,-0.3568,-0.243,0.253,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0085,-0.0174,0.0067,-0.0082,-0.0265
16.799,2.861,1.391,5.77,7.881,11.29,5,7.2,3688.0,5.21,8,9.9092,0.227,9.652,0.27,0.165,0.147,208.936752,-19.338179,83.828087,-5.306692,0.7646,-8.6314,-0.3491,-0.2382,0.23,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0173,0.0202,0.0295,-4.0E-4,-0.0146
17.779,3.033,1.495,6.666,8.757,12.79,5,7.4,3164.0,4.97,7,8.6454,0.12,10.748,0.206,-0.088,0.037,209.047012,-19.463711,83.762901,-5.456225,0.7895,-8.6508,-0.3614,-0.2481,0.261,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0035,-0.0164,0.0105,0.0011,0.0099
17.785,3.019,1.524,6.559,8.623,12.64,5,7.35,3268.0,4.91,5,4.1009,0.283,10.437,0.229,-0.306,0.07,208.924744,-19.310263,83.847923,-5.283937,0.7958,-8.6574,-0.3632,-0.2482,0.252,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0086,-0.0247,0.0419,0.0122,-0.0303
17.944,3.037,1.502,6.627,8.773,12.91,5,7.4,3241.0,5.06,4,2.3717,0.021,10.748,0.206,0.091,0.016,209.01947,-19.443916,83.768829,-5.424114,0.8073,-8.6657,-0.3693,-0.2537,0.255,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0024,0.001,0.0258,0.0098,0.0623
16.818,3.061,1.438,6.268,8.479,11.45,5,7.25,3420.0,4.9,5,3.946,0.5,9.783,0.279,-0.169,0.005,209.082275,-19.309395,83.916252,-5.416137,0.8103,-8.6683,-0.3717,-0.2529,0.324,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0011,-0.0343,0.0046,0.0024,0.0064
15.724,2.785,1.327,5.47,7.548,9.86,5,7.1,3743.0,4.7,7,8.5682,0.407,8.785,0.38,-0.501,0.02,208.907349,-19.434563,83.729156,-5.325592,0.8075,-8.6666,-0.3681,-0.2537,0.256,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0103,-0.0146,-0.0236,0.0292,-0.0036
13.206,2.473,0.814,3.734,5.324,6.16,5,6.2,4896.0,4.34,6,6.2067,0.764,5.8,0.849,-0.128,0.04,209.071091,-19.376806,83.851089,-5.437198,0.8115,-8.6691,-0.372,-0.2542,0.222,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0606,0.0124,-0.0206,-0.0096,-0.0154
17.029,2.773,1.434,5.562,7.588,11.17,5,7.2,3511.0,5.22,8,10.0865,0.199,9.652,0.27,-0.343,0.222,209.095016,-19.342127,83.892403,-5.44165,0.8149,-8.6719,-0.3739,-0.2549,0.229,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0237,-0.0174,-0.0062,-0.0086,0.0215
16.72,2.807,1.423,5.621,7.647,10.89,5,7.15,3575.0,5.01,8,10.0595,0.305,9.505,0.285,-0.278,0.201,208.955704,-19.394627,83.78566,-5.348181,0.8084,-8.6672,-0.3692,-0.2535,0.239,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0032,0.0109,9.0E-4,2.0E-4,-0.0239
15.193,2.634,1.27,4.93,6.975,8.94,5,6.95,4042.0,4.83,8,9.8443,0.622,8.012,0.468,-0.2,0.173,209.004379,-19.445505,83.760933,-5.412137,0.8143,-8.6716,-0.3723,-0.2561,0.253,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0056,-0.003,-0.0154,0.0016,-0.009
17.128,2.964,1.379,6.068,8.076,11.5,5,7.3,3476.0,5.11,7,8.5991,0.369,9.828,0.276,-0.351,0.014,209.05513,-19.351913,83.866554,-5.412505,0.8381,-8.6912,-0.384,-0.2627,0.235,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0137,0.004,-0.049,0.0467,-0.0225
16.439,2.987,1.457,5.577,7.643,10.34,5,7.1,3754.0,4.83,8,10.0346,0.447,9.052,0.334,-0.751,0.273,209.050827,-19.348564,83.867699,-5.40737,0.8358,-8.6894,-0.3829,-0.2619,0.267,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.015,-0.0094,-0.0284,-0.0029,0.0058
17.924,3.038,1.449,6.574,8.682,12.79,5,7.4,3267.0,5.04,5,4.1351,0.046,10.624,0.215,0.029,-0.018,209.036011,-19.406912,83.809074,-5.421295,0.8416,-8.694,-0.3853,-0.2646,0.233,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0165,0.004,-0.0084,-0.0076,0.0266
16.686,3.007,1.438,6.143,8.327,11.23,5,7.25,3512.0,4.79,7,8.5052,0.528,9.695,0.286,0.099,-0.016,209.060287,-19.445427,83.784973,-5.459127,0.8403,-8.6926,-0.3849,-0.2648,0.228,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.001,-0.0037,0.0446,-0.0079,-0.001
16.472,3.052,1.363,6.042,8.304,10.98,5,7.25,3378.0,4.9,4,2.4484,0.518,9.61,0.292,0.117,0.033,208.999466,-19.412491,83.788414,-5.393079,0.8452,-8.6972,-0.3864,-0.2659,0.236,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0365,0.0282,-0.006,0.012,0.0453
17.347,3.206,1.445,6.547,8.71,12.0,5,7.3,3346.0,5.01,3,1.5029,0.099,10.072,0.258,-0.387,0.007,208.909088,-19.493299,83.677307,-5.35364,0.8629,-8.7121,-0.3933,-0.273,0.275,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0184,-0.0021,-0.0238,-0.0304,-0.0246
