K,u-g,g-r,u-z,u-K,Mv,CL,Typ,Teff,logg,Pop,Age,Mass,Mbol,Radius,[M/H],[a/Fe],longitude,latitude,RAJ2000,DECJ2000,Dist,x_Gal,y_Gal,z_Gal,Av,errMv,errMass,errAge,errTeff,errLogg,errMet,errAlphaFe,errBand_K,errBand_u,errBand_g,errBand_r,errBand_z
16.856,3.088,1.514,6.672,8.674,13.19,5,7.4,3152.0,4.95,7,8.4545,0.124,10.679,0.212,-0.125,0.034,208.899963,-19.446814,83.715034,-5.324924,0.4176,-8.3447,-0.1903,-0.124,0.194,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0086,0.0144,9.0E-4,-0.0244,-0.0358
16.23,3.039,1.509,6.454,8.484,12.44,5,7.35,3337.0,4.86,7,8.4645,0.29,10.314,0.238,-0.353,0.005,208.96933,-19.368599,83.814812,-5.34786,0.4092,-8.3377,-0.187,-0.1207,0.205,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0136,0.0077,0.0172,4.0E-4,-0.034
15.151,2.862,1.458,5.486,7.551,10.54,5,7.1,3658.0,5.05,8,10.0961,0.268,9.052,0.334,-0.329,0.249,209.087143,-19.463928,83.779892,-5.490078,0.429,-8.3534,-0.1966,-0.1279,0.25,0.0,0.1,0.1,50.0,0.1,0.1,0.02,6.0E-4,-0.0227,-0.0021,-0.0145,0.0144
16.172,3.098,1.449,6.484,8.655,12.31,5,7.35,3333.0,5.18,2,0.0639,0.088,10.253,0.243,-0.215,0.035,208.99498,-19.479528,83.726456,-5.419623,0.4501,-8.3711,-0.2057,-0.1351,0.216,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0167,0.0067,0.0176,0.0039,0.0105
13.91,2.641,1.348,5.142,7.26,9.18,5,7.05,3774.0,4.8,2,0.1931,0.672,8.181,0.464,-0.019,-0.021,209.012238,-19.486273,83.727791,-5.437179,0.446,-8.3677,-0.2039,-0.1338,0.252,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0103,0.0017,0.0268,0.0039,0.0266
17.639,3.239,1.475,6.994,9.11,14.0,5,7.45,3077.0,5.18,6,6.1013,0.167,11.536,0.151,-0.137,-0.062,209.038467,-19.378616,83.835464,-5.410568,0.4639,-8.3826,-0.2124,-0.1389,0.214,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0074,0.0164,-0.0023,0.0345,0.0259
14.911,2.981,1.423,6.035,8.195,10.6,5,7.2,3500.0,4.8,5,3.8179,0.522,9.491,0.303,-0.085,-0.003,209.035675,-19.321798,83.885185,-5.382515,0.4676,-8.3858,-0.2142,-0.1397,0.283,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0113,0.0143,0.0107,-0.0167,-0.0267
16.174,3.204,1.447,6.525,8.69,12.11,5,7.3,3296.0,5.16,4,2.572,0.281,10.072,0.258,0.115,0.021,209.027405,-19.360586,83.846886,-5.393104,0.4832,-8.3986,-0.2212,-0.1452,0.213,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0383,0.0387,0.0193,-0.0197,-6.0E-4
15.926,2.959,1.436,6.137,8.199,11.6,5,7.3,3463.0,4.9,4,2.6123,0.361,9.874,0.273,-0.32,0.007,208.992157,-19.493006,83.71315,-5.423341,0.4927,-8.4063,-0.2251,-0.1494,0.192,0.0,0.1,0.1,50.0,0.1,0.1,0.02,8.0E-4,-0.0358,0.0011,-1.0E-4,-0.0307
15.023,2.842,1.418,5.669,7.799,10.38,5,7.15,3534.0,4.85,6,6.1461,0.434,9.131,0.341,-0.287,-0.018,208.965302,-19.483027,83.710579,-5.396247,0.4938,-8.4073,-0.2254,-0.1497,0.279,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0088,-0.0315,-0.0223,-0.0447,0.0153
15.124,2.812,1.405,5.702,7.841,10.45,5,7.15,3564.0,4.79,4,2.4938,0.468,9.131,0.341,-0.03,0.012,209.031937,-19.402773,83.811043,-5.415998,0.517,-8.4264,-0.2366,-0.1567,0.257,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0416,-0.0214,0.0134,-0.0071,-0.0249
14.889,2.82,1.351,5.666,7.765,10.22,5,7.15,3610.0,4.81,4,2.411,0.587,9.061,0.349,-0.093,0.015,208.974289,-19.461542,83.733665,-5.394084,0.5107,-8.4213,-0.2333,-0.1552,0.211,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0056,0.0108,0.0125,0.0113,-0.0317
14.368,2.714,1.309,5.243,7.342,9.42,5,7.05,3791.0,4.59,5,4.0197,0.572,8.477,0.419,-0.103,0.021,208.950531,-19.460972,83.724022,-5.373852,0.5117,-8.4222,-0.2335,-0.1555,0.21,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0163,-0.0098,-0.0081,0.0314,0.0195
16.028,2.869,1.397,5.747,7.886,11.4,5,7.2,3573.0,5.1,8,9.8441,0.162,9.796,0.258,0.16,0.155,208.934479,-19.385422,83.784813,-5.326159,0.5131,-8.4236,-0.2342,-0.1553,0.215,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0106,0.0135,0.0099,-0.0017,0.0228
15.0,2.81,1.389,5.373,7.486,10.01,5,7.1,3779.0,4.97,8,9.9804,0.443,8.753,0.371,-0.127,0.205,209.011703,-19.344141,83.854889,-5.372446,0.509,-8.42,-0.2329,-0.1536,0.279,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0121,0.0162,-0.004,-0.0037,0.0422
17.057,2.995,1.442,6.613,8.688,12.99,5,7.4,3133.0,5.11,3,1.4197,0.124,10.816,0.201,0.088,0.087,208.938644,-19.395985,83.77713,-5.334446,0.5346,-8.4413,-0.244,-0.1625,0.181,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0049,0.0034,0.0143,0.0151,0.0023
17.199,3.117,1.46,6.647,8.72,12.97,5,7.4,3163.0,5.05,6,6.0774,0.289,10.624,0.215,-0.307,0.025,209.062317,-19.465473,83.767876,-5.469888,0.5376,-8.4431,-0.2462,-0.1642,0.237,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0229,-8.0E-4,-0.0195,0.0279,-0.0106
16.697,3.052,1.426,6.496,8.651,12.55,5,7.35,3237.0,4.94,7,8.4239,0.27,10.437,0.229,0.168,0.032,209.092941,-19.473328,83.773911,-5.499197,0.5302,-8.4368,-0.2431,-0.1618,0.228,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0037,-0.042,-0.0194,-0.0098,0.0175
15.563,3.001,1.371,6.064,8.23,11.11,5,7.25,3392.0,4.94,5,3.8972,0.23,9.652,0.289,0.03,0.012,209.002731,-19.40609,83.795547,-5.392929,0.5256,-8.4335,-0.2403,-0.1596,0.194,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0203,0.0103,0.015,0.0203,-0.0123
16.226,3.174,1.416,6.55,8.724,11.96,5,7.35,3245.0,4.93,2,0.1482,0.469,10.193,0.248,0.018,0.008,209.058945,-19.455694,83.775192,-5.462643,0.5438,-8.4482,-0.249,-0.1661,0.235,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0011,0.0151,-0.0078,-9.0E-4,-0.0118
15.979,2.941,1.436,5.951,8.085,11.26,5,7.25,3513.0,4.83,6,6.1288,0.284,9.652,0.289,-0.227,0.006,208.987549,-19.329868,83.857323,-5.345665,0.558,-8.4606,-0.2552,-0.1697,0.245,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.004,-0.0078,-0.0177,-0.0267,0.0231
13.225,2.643,1.232,4.767,6.802,8.28,5,6.9,4101.0,4.68,6,6.209,0.686,7.436,0.59,-0.189,0.019,208.897858,-19.346144,83.80426,-5.27757,0.5492,-8.4536,-0.2504,-0.1669,0.237,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0161,0.0106,-0.0417,0.0044,0.0228
15.991,2.849,1.435,5.616,7.637,10.97,5,7.15,3622.0,5.05,8,10.0128,0.429,9.505,0.285,-0.538,0.224,209.033615,-19.422359,83.794212,-5.426259,0.5414,-8.4464,-0.2478,-0.165,0.264,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0203,0.0308,-0.0227,-0.0116,0.0081
17.637,3.089,1.476,6.783,8.956,13.52,5,7.45,3188.0,5.07,5,3.9582,0.079,11.026,0.185,-0.14,0.044,208.975952,-19.451847,83.743065,-5.391099,0.5718,-8.4716,-0.2612,-0.1754,0.256,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0529,0.0144,-0.0025,-0.0033,0.0191
17.518,3.033,1.417,6.649,8.762,13.28,5,7.4,3129.0,5.11,3,1.4527,0.158,10.816,0.201,0.051,-0.048,209.082932,-19.381407,83.85202,-5.449231,0.574,-8.4732,-0.2632,-0.1755,0.243,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0067,-0.0196,-0.0109,0.0416,0.0198
17.49,3.15,1.474,6.724,8.844,13.21,5,7.4,3163.0,5.13,5,4.0407,0.188,10.816,0.201,-0.222,-0.013,208.967285,-19.317091,83.860077,-5.322835,0.5744,-8.4742,-0.2625,-0.175,0.259,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0351,-0.0237,-0.0484,-0.0078,0.0115
16.79,3.045,1.407,6.544,8.651,12.47,5,7.35,3224.0,4.99,6,5.9147,0.093,10.437,0.229,0.151,0.031,208.945755,-19.306957,83.859917,-5.300132,0.5741,-8.4741,-0.2622,-0.1748,0.22,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-9.0E-4,-0.0272,-7.0E-4,0.0256,-0.0242
